movieId,title,year,genres,rating_count,avg_rating
1088,Dirty Dancing (1987),1987.0,Drama|Musical|Romance,11935,3.25002094679514
1580,Men in Black (a.k.a. MIB) (1997),1997.0,Action|Comedy|Sci-Fi,40308,3.5817083457378187
3175,Galaxy Quest (1999),1999.0,Adventure|Comedy|Sci-Fi,14659,3.6077836141619484
44022,Ice Age 2: The Meltdown (2006),2006.0,Adventure|Animation|Children|Comedy,4833,3.2593627146699773
175197,The Dark Tower (2017),2017.0,Fantasy|Horror|Sci-Fi|Western,610,2.754918032786885
1645,The Devil's Advocate (1997),1997.0,Drama|Mystery|Thriller,13496,3.547347362181387
471,"Hudsucker Proxy, The (1994)",1994.0,Comedy,10631,3.6579813752234034
3794,Chuck & Buck (2000),2000.0,Comedy|Drama,763,3.247051114023591
8638,Before Sunset (2004),2004.0,Drama|Romance,4832,3.9717508278145695
33722,Ladies in Lavender (2004),2004.0,Comedy|Drama|Romance,181,3.5552486187845305
2142,"American Tail: Fievel Goes West, An (1991)",1991.0,Adventure|Animation|Children|Musical|Western,2179,3.030518586507572
2366,King Kong (1933),1933.0,Action|Adventure|Fantasy|Horror,6358,3.543409877319912
6658,10 (1979),1979.0,Comedy|Romance,740,2.8905405405405404
1959,Out of Africa (1985),1985.0,Drama|Romance,4763,3.634788998530338
6620,American Splendor (2003),2003.0,Comedy|Drama,3865,3.7897800776196635
54190,Across the Universe (2007),2007.0,Drama|Fantasy|Musical|Romance,2351,3.56763079540621
3918,Hellbound: Hellraiser II (1988),1988.0,Horror,1371,2.9821298322392416
68135,17 Again (2009),2009.0,Comedy|Drama,2676,3.062219730941704
1342,Candyman (1992),1992.0,Horror|Thriller,3546,2.9840665538635083
1591,Spawn (1997),1997.0,Action|Adventure|Sci-Fi|Thriller,5351,2.637077181835171
2122,Children of the Corn (1984),1984.0,Horror|Thriller,2520,2.638095238095238
3997,Dungeons & Dragons (2000),2000.0,Action|Adventure|Comedy|Fantasy,2135,2.0634660421545665
96488,Searching for Sugar Man (2012),2012.0,Documentary,1321,3.9735049205147615
31528,Beau Geste (1939),1939.0,Action|Adventure|Drama|War,170,3.6882352941176473
32460,Knockin' on Heaven's Door (1997),1997.0,Action|Comedy|Crime|Drama,803,4.052303860523039
833,High School High (1996),1996.0,Comedy,1354,2.7182422451994093
4519,"Land Before Time, The (1988)",1988.0,Adventure|Animation|Children|Fantasy,2437,3.3481739844070577
4900,Out Cold (2001),2001.0,Comedy,311,3.1189710610932475
1238,Local Hero (1983),1983.0,Comedy,2944,3.9487092391304346
2866,"Buddy Holly Story, The (1978)",1978.0,Drama,1324,3.6185800604229605
5803,I Spy (2002),2002.0,Action|Adventure|Comedy|Crime,1231,2.7538586515028434
7340,Just One of the Guys (1985),1985.0,Comedy,324,2.9753086419753085
463,Guilty as Sin (1993),1993.0,Crime|Drama|Thriller,369,2.813008130081301
36525,Just Like Heaven (2005),2005.0,Comedy|Fantasy|Romance,1893,3.504754358161648
97186,Sinivalkoinen valhe (2012),2012.0,Documentary,23,3.5
6357,High Society (1956),1956.0,Comedy|Musical|Romance,472,3.669491525423729
3749,"Time Regained (Temps retrouvé, Le) (1999)",1999.0,Drama,118,3.2415254237288136
7982,"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",2003.0,Drama|Horror|Mystery|Thriller,890,3.6235955056179776
5518,Beau Pere (a.k.a. Stepfather) (Beau-père) (1981),1981.0,Drama,45,3.3777777777777778
7833,Shadow of the Thin Man (1941),1941.0,Comedy|Crime|Mystery,310,3.806451612903226
5300,3:10 to Yuma (1957),1957.0,Action|Adventure|Drama|Thriller|Western,562,3.626334519572954
